screen_name;user_id;full_name;party;location;created_at
reinholdmdb;925657781759332353;Hagen Reinhold;FDP;Berlin, Deutschland;01.11.2017 09:36:27
hans_michelbach;824221646290616321;Hans Michelbach;CSU;Coburg, Bayern;25.01.2017 11:45:28
fuchtel;66750542;Hans-Joachim Fuchtel;CDU;Altensteig, Nordschwarzwald;18.08.2009 18:04:36
Hansjoerg_Durz;1662533040;Hansjörg Durz;CSU;Augsburg Land // Berlin;11.08.2013 13:29:37
ebner_sha;52431948;Harald Ebner;B90/Die Grünen;Germany;30.06.2009 15:56:19
HaraldWeinberg;625642009;Harald Weinberg ;Die Linke;Nürnberg I Berlin;03.07.2012 15:24:05
h_weyel;841412635270762496;Harald Weyel;AfD;;13.03.2017 22:16:19
HartmutEbbing;916950563815870464;Hartmut Ebbing;FDP;Berlin, Deutschland;08.10.2017 08:57:05
HeikeBrehmerMdB;150372237;Heike Brehmer;CDU;Harz;31.05.2010 19:34:09
HeikeHaensel;332264734;Heike Hänsel;Die Linke;Berlin;09.07.2011 14:08:58
HeikoMaas;24158261;Heiko Maas;SPD;Saarlouis/Berlin;13.03.2009 11:37:00
Heiko_Wildberg;3183992596;Heiko Wildberg;AfD;Südpfalz;19.04.2015 17:46:38
HBraun;19108071;Helge Braun;CDU;Berlin und Gießen;17.01.2009 11:45:46
helgelindh;454981027;Helge Lindh;SPD;Wuppertal, Nordrhein-Westfalen;04.01.2012 16:12:00
HHirte;1513671236;Heribert Hirte;CDU;Köln am Rhein;13.06.2013 15:15:09
groehe;94363834;Hermann Gröhe;CDU;Berlin;03.12.2009 16:38:02
solms;16325209;Hermann Otto Solms;FDP;Lich, Berlin;17.09.2008 07:49:56
HildeMattheis;115614153;Hilde Mattheis;SPD;Ulm;19.02.2010 08:25:12
HiltrudLotze;38272947;Hiltrud Lotze;SPD;;06.05.2009 20:49:41
hubertus_heil;15943222;Hubertus Heil;SPD;Peine, Gifhorn, Berlin;22.08.2008 10:14:26
ZdebelHubertus;4557858142;Hubertus Zdebel;Die Linke;Münster, Nordrhein-Westfalen;21.12.2015 14:30:15
Ingmar_Jung;23296367;Ingmar Jung;CDU;;08.03.2009 10:47:11
Ingrid_Nestle;44359035;Ingrid Nestle;B90/Die Grünen;Berlin & Elmshorn;03.06.2009 13:34:51
IreneMihalic;143000381;Irene Mihalic;B90/Die Grünen;Gelsenkirchen / Berlin;12.05.2010 09:15:53
IsabelMackensen;2322165327;Isabel Mackensen;SPD;;03.02.2014 16:32:32
jankortemdb;4164673821;Jan Korte;Die Linke;;11.11.2015 15:38:47
JanMetzler;995653004;Jan Metzler;CDU;Dittelsheim-Heßloch;07.12.2012 18:54:37
Jan_Nolte_AfD;3408940048;Jan Nolte;AfD;Waldeck, Deutschland;08.08.2015 17:13:12
JanaSchimke;728990858;Jana Schimke;CDU;;31.07.2012 18:48:25
JM_Luczak;22908417;Jan-Marco Luczak;CDU;Berlin;05.03.2009 11:25:35
janoschdahmen;16697497;Janosch Dahmen;B90/Die Grünen;;11.10.2008 16:28:19
jensbeeck;179216369;Jens Beeck;FDP;Lingen (Ems), Deutschland;16.08.2010 20:00:42
JBrandenburgFDP;857906951707127808;Jens Brandenburg;FDP;Rhein-Neckar-Kreis, Baden-Württemberg;28.04.2017 10:38:51
JensKoeppen;146376562;Jens Koeppen;CDU;Berlin, Barnim, Uckermark;21.05.2010 08:20:13
JensMaierAfD;916639458409242624;Jens Maier;AfD;Dresden, Sachsen;07.10.2017 12:20:52
jensspahn;299650387;Jens Spahn;CDU;Berlin;16.05.2011 13:25:13
JensZSPD;449619355;Jens Zimmermann;SPD;Groß-Umstadt;29.12.2011 09:14:59
JoanaCotar;814970546366611457;Joana Cotar;AfD;Hessen, Deutschland;30.12.2016 23:04:54
Jochen_Haug;717077328669646849;Jochen Haug;AfD;Köln, Deutschland;04.04.2016 19:52:12
Johann_Saathoff;159217491;Johann Saathoff;SPD;Ostfriesland;24.06.2010 19:53:25
JoWadephul;389682667;Johann Wadephul;CDU;Berlin, Deutschland;12.10.2011 20:46:07
Huber_AfD;2527085323;Johannes Huber;AfD;Freising, Deutschland;27.05.2014 09:51:54
jschraps;1356753444;Johannes Schraps;SPD;Weserbergland - BXL - Berlin;16.04.2013 12:32:04
JoSteiniger;83474160;Johannes Steiniger;CDU;;18.10.2009 23:38:01
johannesvogel;15630931;Johannes Vogel;FDP;Berlin / NRW;28.07.2008 12:19:51
joerg_cezanne;1391879604;Jörg Cezanne;Die Linke;;30.04.2013 12:00:22
Schneider_AfD;719975730784956416;Jörg Schneider;AfD;Gelsenkirchen;12.04.2016 19:49:25
JoernKoenigAfD;960974630709284864;Jörn König;AfD;Berlin, Deutschland;06.02.2018 20:33:00
josefoster;28089973;Josef Oster;CDU;Koblenz, Deutschland;01.04.2009 11:40:24
josephineortleb;21618829;Josephine Ortleb;SPD;Saarland;23.02.2009 01:13:58
josip_juratovic;738731811380076544;Josip Juratovic;SPD;Gundelsheim, Deutschland;03.06.2016 13:59:23
JudithSkudelny;948958759560376320;Judith Skudelny;FDP;;04.01.2018 16:46:13
julia_verlinden;1475734592;Julia Verlinden;B90/Die Grünen;Lüneburg, Germany;01.06.2013 21:31:23
JuergenBraunAfD;917756296555892736;Jürgen Braun;AfD;Waiblingen, Deutschland;10.10.2017 14:18:46
juergenhardt;38467606;Jürgen Hardt;CDU;Remscheid, Solingen, Wuppertal;07.05.2009 16:53:05
Pohl_MdB;175071092;Jürgen Pohl;AfD;Thüringen, Deutschland;05.08.2010 15:20:12
JTrittin;485751594;Jürgen Trittin;B90/Die Grünen;Berlin/Göttingen;07.02.2012 14:54:56
JuttaKrellmann;600984834;Jutta Krellmann;Die Linke;Hameln;06.06.2012 11:44:56
KaiGehring;110368456;Kai Gehring;B90/Die Grünen;Berlin/ Essen;01.02.2010 08:55:10
kaiwegner;39999872;Kai Wegner;CDU;Germany, Berlin, Spandau;14.05.2009 14:07:45
Kai_Whittaker;2479436480;Kai Whittaker;CDU;Baden-Baden / Berlin;06.05.2014 07:39:57
KarambaDiaby;316355056;Karamba Diaby;SPD;Halle (Saale);13.06.2011 09:57:53
Karl_Lauterbach;3292982985;Karl Lauterbach;SPD;Berlin, Deutschland;21.05.2015 14:01:21
BrunnerGanzOhr;882929865535705088;Karl-Heinz Brunner;SPD;Illertissen, Deutschland;06.07.2017 11:50:58
busen_mdb;935554963639558145;Karlheinz Busen;FDP;Berlin, Deutschland;28.11.2017 17:04:19
HilseMdb;920932259347214338;Karsten Hilse;AfD;Bautzen, Deutschland;01.08.2016 18:45:37
KarstenMoering;1099159964;Karsten Möring;CDU;Köln;17.01.2013 20:08:06
katdro;15722010;Katharina Dröge;B90/Die Grünen;;04.08.2008 13:32:56
k_willkomm;958634602905718785;Katharina Kloke;FDP;;31.01.2018 09:34:34
voglerk;21287514;Kathrin Vogler;Die Linke;Emsdetten, Germany;19.02.2009 10:10:30
fdp_hessel;107806591;Katja Hessel;FDP;Nürnberg;23.01.2010 20:19:09
katjakipping;28066013;Katja Kipping;Die Linke;Dresden, Berlin;01.04.2009 06:57:45
KLeikert;467381196;Katja Leikert;CDU;;18.01.2012 12:08:59
KatjaSuding;18880634;Katja Suding;FDP;Hamburg;11.01.2009 21:36:34
GoeringEckardt;626287930;Katrin Göring-Eckardt;B90/Die Grünen;;04.07.2012 08:28:33
KatrinHelling;21267421;Katrin Helling-Plahr;FDP;Hagen;19.02.2009 02:19:12
katrin_staffler;825019912083038208;Katrin Staffler;CSU;Türkenfeld, Deutschland;27.01.2017 16:37:30
Katrin_Werner;224630872;Katrin Werner;Die Linke;Trier;09.12.2010 13:36:39
KayGottschalk1;1286011081;Kay Gottschalk;AfD;Hamburg;21.03.2013 13:39:27
KerstinGriese;39709752;Kerstin Griese;SPD;Niederberg und Ratingen;13.05.2009 07:41:00
KirstenKappert;955357684013953025;Kirsten Kappert-Gonther;B90/Die Grünen;Bremen, Deutschland;22.01.2018 08:33:16
KirstenTackmann;1294725486;Kirsten Tackmann;Die Linke;Tornow;24.03.2013 10:47:35
ernst_klaus;64994645;Klaus Ernst;Die Linke;Berlin;12.08.2009 09:54:42
KlausMindrup;845282647261761536;Klaus Mindrup;SPD;Pankow, Berlin;24.03.2017 14:34:22
KonstantinKuhle;475275997;Konstantin Kuhle;FDP;Göttingen/Berlin;26.01.2012 21:49:02
KonstantinNotz;17752770;Konstantin von Notz;B90/Die Grünen;Schleswig-Holstein und Berlin;30.11.2008 11:20:58
K_SA;17870195;Kordula Schulz-Asche;B90/Die Grünen;Berlin, Eschborn;04.12.2008 15:40:59
KristinaNordt;1039480632;Kristina Nordt;CDU;;27.12.2012 12:11:16
larscastellucci;17469649;Lars Castellucci;SPD;Wiesloch;18.11.2008 20:02:03
larsklingbeil;16255941;Lars Klingbeil;SPD;Munster, Niedersachsen, D;12.09.2008 12:58:06
Leif_Erik_Holm;739531034761498624;Leif-Erik Holm;AfD;Mecklenburg-Vorpommern;05.06.2016 18:55:13
LeniBreymaier;748453543632330752;Leni Breymaier;SPD;Stuttgart, Aalen, Deutschland;30.06.2016 09:50:05
LindaTeuteberg;170964436;Linda Teuteberg;FDP;Potsdam | Brandenburg;26.07.2010 06:31:36
badulrichmartha;282195399;Lisa Badum;B90/Die Grünen;Forchheim;14.04.2011 18:52:28
lisapaus;569166756;Lisa Paus;B90/Die Grünen;Charlottenburg-Wilmersdorf;02.05.2012 12:57:06
lgbeutin;136266976;Lorenz Gösta Beutin;Die Linke;Kiel;23.04.2010 13:11:41
Lothar_Binding;2617281050;Lothar Binding;SPD;Heidelberg & Berlin;11.07.2014 12:32:53
ProfMaier;824210890354520064;Lothar Maier;AfD;Stuttgart, Deutschland;25.01.2017 11:02:44
koehler_fdp;898597063444877313;Lukas Köhler;FDP;München, Bayern;18.08.2017 17:26:49
oezdemir_spd;1399764944;Mahmut Özdemir;SPD;Duisburg;03.05.2013 13:36:09
MaikBeermann;569257486;Maik Beermann;CDU;;02.05.2012 17:01:13
MFJ_MdB_MV;1878846786;Maika Friemann-Jennert;CDU;;18.09.2013 10:01:03
Manfredbehrens;61577387;Manfred Behrens;CDU;Ebendorf;30.07.2009 19:37:13
MTodtenhausen;563706584;Manfred Todtenhausen;FDP;Wuppertal;26.04.2012 13:03:53
ManjaSchuele;827090742162100224;Manja Schüle;SPD;Potsdam;02.02.2017 09:46:14
ManuelHoeferlin;17483463;Manuel Höferlin;FDP;Rheinhessen und Berlin;19.11.2008 10:16:23
ManuelSarrazin;17922403;Manuel Sarrazin;B90/Die Grünen;Harburg an der Elbe;06.12.2008 14:31:27
MarcBernhardAfD;805823950253150208;Marc Bernhard;AfD;;05.12.2016 17:19:36
MBiadaczMdB;935815000006053888;Marc Biadacz;CDU;Direkt gewählter Bundestagsabgeordneter für den Wahlkreis Böblingen;29.11.2017 10:17:37
MarcHenrichmann;44608858;Marc Henrichmann;CDU;Havixbeck, Germany;04.06.2009 12:56:07
Marc_Jongen;4121053541;Marc Jongen;AfD;Baden-Württemberg, Deutschland;05.11.2015 17:59:24
marcobuelow;52119203;Marco Bülow;Die PARTEI;Ruhrgebiet / Berlin;29.06.2009 17:14:15
MarcoBuschmann;106136813;Marco Buschmann;FDP;Gelsenkirchen/Berlin;18.01.2010 16:25:00
wanderwitz;16361044;Marco Wanderwitz;CDU;Hohenstein-Ernstthal;19.09.2008 08:33:36
Marcus_Buehl;729360191263780867;Marcus Bühl;AfD;Thüringen, Deutschland;08.05.2016 17:19:55
MarcusFaber;22364234;Marcus Faber;FDP;Stendal, Sachsen-Anhalt;01.03.2009 13:59:34
MarcusHeld_SPD;2860802891;Marcus Held;SPD;Worms - Alzey - Oppenheim;04.11.2014 14:48:38
MarcusWeinberg;884382990;Marcus Weinberg;CDU;;16.10.2012 12:55:33
MargareteBause;480623844;Margarete Bause;B90/Die Grünen;Berlin & München ;01.02.2012 18:14:38
margit_stumpp;943082490482262016;Margit Stumpp;B90/Die Grünen;Ostalbkreis/Landkreis Heidenheim & Berlin;19.12.2017 11:36:02
MariaKlSchmeink;18103366;Maria Klein-Schmeink;B90/Die Grünen;Münster;13.12.2008 19:27:20
MdbWendt;2430137675;Marian Wendt;CDU;Nordsachsen/Berlin;23.03.2014 03:19:00
M_HarderKuehnel;815699423057637381;Mariana Harder-Kühnel;AfD;Gelnhausen, Hessen;01.01.2017 23:21:12
MAStrackZi;3047392319;Marie-Agnes Strack-Zimmermann;FDP;Berlin, Deutschland;20.02.2015 17:27:35
BraFDP;802968497831739392;Mario Brandenburg;FDP;Rheinland-Pfalz, Deutschland;27.11.2016 20:13:03
MieruchMario;932931561015730176;Mario Mieruch;Parteilos;;21.11.2017 11:19:51
Frohnmaier_AfD;4130621842;Markus Frohnmaier;AfD;Weil der Stadt/Berlin;07.11.2015 00:49:32
GruebelMdb;796691290016583680;Markus Grübel;CDU;;10.11.2016 12:29:40
KoobMar;2664174617;Markus Koob;CDU;;02.07.2014 14:40:54
markuskurthmdb;150188536;Markus Kurth;B90/Die Grünen;Berlin;31.05.2010 09:13:22
MarkusPaschke;3163499392;Markus Paschke;SPD;;13.04.2015 10:22:33
Toens_NRW04;3522875063;Markus Töns;SPD;;02.09.2015 11:46:13
MarkusTressel;2306519694;Markus Tressel;B90/Die Grünen;Saarlouis, Saarland;23.01.2014 12:51:04
uhl_markus;1391875208;Markus Uhl;CDU;Saarbrücken | Homburg;30.04.2013 11:47:36
Renner_AfD;2535401947;Martin Erwin Renner;AfD;Haan, Deutschland;30.05.2014 16:12:59
Martin_Hess_AfD;872663038805016576;Martin Hess;AfD;;08.06.2017 03:54:16
MartinRabanus;46356949;Martin Rabanus;SPD;Taunusstein;11.06.2009 10:05:20
M_Reichardt_AfD;2545743991;Martin Reichardt;AfD;Deutschland;04.06.2014 10:26:57
MartinRosemann;28784085;Martin Rosemann;SPD;Berlin;04.04.2009 12:29:11
MartinSchulz;17675072;Martin Schulz;SPD;;27.11.2008 10:49:00
Martin_Sichert;918405860862382082;Martin Sichert;AfD;;12.10.2017 09:19:55
MartinaRenner;68920005;Martina Renner;Die Linke;Berlin und Erfurt;26.08.2009 07:01:12
stamm_fibich;4017796049;Martina Stamm-Fibich;SPD;Erlangen-Höchstadt, Bayern;22.10.2015 15:37:18
stonie_kiel;46498076;Mathias Stein;SPD;;11.06.2009 21:36:58
matthiasbartke;3376953843;Matthias Bartke;SPD;Hamburg, Deutschland;15.07.2015 07:44:18
Buettner_MdB;881480498043916288;Matthias Büttner;AfD;Stendal, Deutschland;02.07.2017 11:51:42
MatthiasGastel;727782559;Matthias Gastel;B90/Die Grünen;Filderstadt, WK Nürtingen, B-W;31.07.2012 07:04:19
MatthiasHauer;1158585210;Matthias Hauer;CDU;Essen;07.02.2013 23:53:53
MatthiasHeider;154064825;Matthias Heider;CDU;Lüdenscheid;10.06.2010 08:05:03
MatthiasHoehn;15686106;Matthias Höhn;Die Linke;Altmark, Magdeburg, Berlin;01.08.2008 05:44:01
Matthiasnoelke;800823849252229121;Matthias Nölke;FDP;;21.11.2016 22:10:59
mseesternpauly;1006099793888841729;Matthias Seestern-Pauly;FDP;Bad Iburg;01.08.2009 09:33:48
MWBirkwald;748851762;Matthias W. Birkwald;Die Linke;;10.08.2012 07:32:05
matthiaszimmer;52994606;Matthias Zimmer;CDU;Frankfurt, Berlin;02.07.2009 06:45:11
MechthildHeil;974367631;Mechthild Heil;CDU;;27.11.2012 17:56:41
MetinHakverdi;1043288618;Metin Hakverdi;SPD;;28.12.2012 22:27:01
DrMEspendiller;885167849685340161;Michael Espendiller;AfD;;12.07.2017 16:03:55
MichaelFrieser;4577700622;Michael Frieser;CSU;Berlin, Deutschland;23.12.2015 10:47:43
michael_g_link;3034092143;Michael Georg Link;FDP;;13.02.2015 06:54:35
GerdesMdB;2468956470;Michael Gerdes;SPD;Bottrop;29.04.2014 08:21:18
michaelgrossmdb;2814949590;Michael Groß;SPD;Marl;17.09.2014 13:58:03
MGrosseBroemer;574424501;Michael Grosse-Brömer;CDU;Heide und Hauptstadt;08.05.2012 12:11:15
MichaelKuffer;4249342037;Michael Kuffer;CSU;München, Bayern;22.11.2015 11:54:32
meister_schafft;34214048;Michael Meister;CDU;Bergstraße;22.04.2009 07:21:25
MiRo_SPD;1114675538;Michael Roth;SPD;Auswärtiges Amt, Berlin;23.01.2013 15:48:09
mischrodi;806975237766135813;Michael Schrodi;SPD;Olching, Deutschland;08.12.2016 21:34:24
EUTheurer;1108382916;Michael Theurer;FDP;Berlin, Stuttgart, Horb;21.01.2013 08:00:48
michael_thews;409258073;Michael Thews;SPD;Lünen;10.11.2011 13:55:11
mvabercron;862747349277450240;Michael von Abercron;CDU;Pinneberg, Deutschland;11.05.2017 19:12:51
michel_brandt_;1543429536;Michel Brandt;Die Linke;;24.06.2013 14:54:02
Mi_Muentefering;947740210036641793;Michelle Müntefering;SPD;Berlin, Deutschland;01.01.2018 08:04:09
monikalazar;60630139;Monika Lazar;B90/Die Grünen;Sachsen;27.07.2009 15:47:11
NadineSchoen;41840905;Nadine Schön;CDU;;22.05.2009 16:06:06
NicoleGohlke;866425075;Nicole Gohlke;Die Linke;Berlin | München;07.10.2012 14:33:37
Nicole_Hoechst;3105025175;Nicole Höchst;AfD;Rheinland-Pfalz, Deutschland;22.03.2015 15:50:41
NielsAnnen;42401449;Niels Annen;SPD;Hamburg;25.05.2009 13:06:24
NiemaMovassat;111054843;Niema Movassat;Die Linke;Oberhausen, Essen und Berlin;03.02.2010 17:18:12
NilsSchmid;83795057;Nils Schmid;SPD;Nürtingen, Baden-Württemberg;20.10.2009 07:56:26
NinaScheer_SPD;845213960060243968;Nina Scheer;SPD;Schleswig-Holstein;24.03.2017 10:01:26
ninawarken;65413134;Nina Warken;CDU;;13.08.2009 17:14:41
NKleinwaechter;865920519668989955;Norbert Kleinwächter;AfD;Berlin, Deutschland;20.05.2017 13:21:54
Norbert_MdB;4265444913;Norbert Müller;Die Linke;Potsdam, Brandenburg;24.11.2015 15:29:07
olafinderbeek;913327957602693121;Olaf In der Beek;FDP;;28.09.2017 09:02:08
olavgutting;58429842;Olav Gutting;CDU;Bruchsal-Schwetzingen, Berlin;20.07.2009 09:03:25
KaczmarekOliver;231440493;Oliver Kaczmarek;SPD;Kamen;28.12.2010 14:43:48
Oliver_Krischer;88630242;Oliver Krischer;B90/Die Grünen;Düren/Berlin;09.11.2009 09:34:24
OlliLuksic;21144568;Oliver Luksic;FDP;Saarland, Berlin, Europa;17.02.2009 23:17:52
nouripour;16674128;Omid Nouripour;B90/Die Grünen;Frankfurt/Germany;09.10.2008 21:23:15
OWvonHoltz;2357675876;Ottmar von Holtz;B90/Die Grünen;;23.02.2014 08:22:18
Otto_Fricke;18044683;Otto Fricke;FDP;Krefeld / Berlin,  Deutschland;11.12.2008 09:50:36
PascalKober;19909974;Pascal Kober;FDP;;02.02.2009 14:54:57
pascalmeiser;314534724;Pascal Meiser;Die Linke;;10.06.2011 12:19:25
PSchnieder;368334555;Patrick Schnieder;CDU;Arzfeld/Eifel;05.09.2011 13:31:39
PatrickSensburg;43537931;Patrick Sensburg;CDU;Hochsauerlandkreis;30.05.2009 14:52:10
Paul_Podolay;774308243124391937;Paul Podolay;AfD;Erlangen, Deutschland;09.09.2016 18:07:26
PaulZiemiak;288696645;Paul Ziemiak;CDU;Germany;27.04.2011 09:22:47
peteraltmaier;378693834;Peter Altmaier;CDU;Saarlouis / Berlin;23.09.2011 17:00:07
PeterAumer;348460907;Peter Aumer;CSU;Regensburg/Berlin;04.08.2011 13:33:25
Peter_Beyer;445375409;Peter Beyer;CDU;;24.12.2011 09:58:20
PeterBoehringer;99268600;Peter Boehringer;AfD;Deutschland;25.12.2009 11:36:05
PeterFelser;3384789731;Peter Felser;AfD;Lindenberg im Allgäu;20.07.2015 18:34:15
PeterHeidtFDP;1858621434;Peter Heidt;FDP;;12.09.2013 21:46:41
Peter_Stein_CDU;2885729417;Peter Stein;CDU;;20.11.2014 15:32:00
petertauber;22260144;Peter Tauber;CDU;Gelnhausen;28.02.2009 14:36:49
PeterWeissMdB;54202670;Peter Weiß;CDU;Emmendingen;06.07.2009 13:24:44
PetrBystronAfD;810957560723505152;Petr Bystron;AfD;München, Bayern;19.12.2016 21:18:44
PetraPauMaHe;560467206;Petra Pau;Die Linke;Berlin, Marzahn- Hellersdorf;22.04.2012 15:55:05
Petra_Sitte_MdB;293522998;Petra Sitte;Die Linke;;05.05.2011 14:05:32
Philipp_Amthor;934016327567790080;Philipp Amthor;CDU;Berlin / Vorpommern;24.11.2017 11:10:20
Dr_Rainer_Kraft;804064797977444352;Rainer Kraft;AfD;Augsburg-Land;30.11.2016 20:49:21
rainerspiering;18668620;Rainer Spiering;SPD;Bad Rothenfelde, Germany;06.01.2009 09:39:17
rbrinkhaus;38001527;Ralph Brinkhaus;CDU;Gütersloh;05.05.2009 19:45:20
HoubenReinhard;825069798140833794;Reinhard Houben;FDP;Köln, Deutschland;27.01.2017 19:55:43
RenateKuenast;1425265488;Renate Künast;B90/Die Grünen;Berlin;13.05.2013 11:24:44
Rene_Springer;831541837965967361;René Springer;AfD;Potsdam, Deutschland;14.02.2017 16:33:18
RitaHaglKehl;836553428042141697;Rita Hagl-Kehl;SPD;Deggendorf, Deutschland;28.02.2017 12:27:34
rischwasu;50932086;Rita Schwarzelühr-Sutter;SPD;Kreis Waldshut;26.06.2009 05:09:54
RKiesewetter;42698498;Roderich Kiesewetter;CDU;Aalen-Heidenheim, Berlin;26.05.2009 19:29:44
R_Hartwig_AfD;282687385;Roland Hartwig;AfD;Rhein-Sieg-Kreis;15.04.2011 18:11:35
muellerboehm;2373251115;Roman Müller-Böhm;FDP;Oberhausen, Deutschland;01.03.2014 14:20:15
Spenrath_AfD;3105403449;Roman Reusch;AfD;Erkelenz, Deutschland;22.03.2015 18:33:22
RonjaKemmer;2405039875;Ronja Kemmer;CDU;;22.03.2014 20:52:19
Dr_Roy_Kuehne;1906911697;Roy Kühne;CDU;;26.09.2013 06:13:48
RuedigerKruse;20916357;Rüdiger Kruse;CDU;Hamburg;15.02.2009 15:44:24
MdB_Lucassen;4875914470;Rüdiger Lucassen;AfD;Rhein-Erft-Kreis;04.02.2016 08:13:45
