screen_name;user_id;full_name;party;location;created_at
Tino_Chrupalla;797137333820784640;Tino Chrupalla;AfD;Sachsen;11.11.2016 18:02:05
TinoSorge;110385973;Tino Sorge;CDU;Magdeburg / Berlin;01.02.2010 10:50:53
tobiaslindner;21197524;Tobias Lindner;B90/Die Grünen;Berlin, Deutschland;18.02.2009 13:58:56
TobiasMPeterka;2496104640;Tobias Matthias Peterka;AfD;Bayreuth, Bayern;15.05.2014 10:45:25
tpflueger;16696924;Tobias Pflüger;Die Linke;;11.10.2008 15:25:31
KartesMdB;3188225915;Torbjörn Kartes;CDU;;20.04.2015 20:23:44
torstenherbst;17561226;Torsten Herbst;FDP;Dresden;22.11.2008 19:02:47
cdu_schweiger;2758602415;Torsten Schweiger;CDU;Sangerhausen, Deutschland;23.08.2014 11:53:37
UdoHemmelgarn;849060114388705280;Udo Hemmelgarn;AfD;Harsewinkel, Deutschland;04.04.2017 00:44:40
UdoSchiefner;3823042877;Udo Schiefner;SPD;;30.09.2015 09:52:07
UliGroetsch;867351565757239296;Uli Grötsch;SPD;Waidhaus, Deutschland;24.05.2017 12:08:22
uihnen;757224186;Ulla Ihnen;FDP;;14.08.2012 14:09:56
UllaJelpke;2837971145;Ulla Jelpke;Die Linke;Platz der Republik, Berlin;20.10.2014 09:49:39
ulle_schauws;17363943;Ulle Schauws;B90/Die Grünen;Krefeld, Nordrhein-Westfalen;13.11.2008 12:29:30
UlliNissen;382044198;Ulli Nissen;SPD;Frankfurt am Main;29.09.2011 11:53:23
UliFreese;2317202160;Ulrich Freese;SPD;Wahlkreis Cottbus/Spree-Neiße;29.01.2014 14:02:57
UlrichKelber;20877217;Ulrich Kelber;SPD;Bonn;14.02.2009 22:55:21
UlrichLange;68172699;Ulrich Lange;CSU;;23.08.2009 15:58:29
ULechte;473843184;Ulrich Lechte;FDP;;25.01.2012 11:40:28
Oehmeulrich;829731236503494656;Ulrich Oehme;AfD;;09.02.2017 16:38:37
MdB_Ulrike_Bahr;724565991104110592;Ulrike Bahr;SPD;Augsburg, Deutschland;25.04.2016 11:49:28
ulschzi;866924100;Ulrike Schielke-Ziesing;AfD;Mecklenburgische Seenplatte, Mecklenburg-Vorpommern;07.10.2012 20:39:05
UteVogt;106684561;Ute Vogt;SPD;Stuttgart;20.01.2010 09:58:42
UweFe;47151012;Uwe Feiler;CDU;Brandenburg Deutschland;14.06.2009 19:05:12
uwe_kamann;2546790747;Uwe Kamann;Parteilos;Deutschland;14.05.2014 06:40:08
UweKekeritz;46480553;Uwe Kekeritz;B90/Die Grünen;Uffenheim / Berlin;11.06.2009 20:22:05
Uwe_Schulz_AfD;19177808;Uwe Schulz;AfD;Berlin, Deutschland;19.01.2009 09:02:11
UweSchummer;409203792;Uwe Schummer;CDU;Deutscher Bundestag, Berlin;10.11.2011 12:18:40
Witt_Uwe;4503658823;Uwe Witt;AfD;Nordrhein-Westfalen, Deutschla;16.12.2015 14:17:02
victorperli;3350681139;Victor Perli;Die Linke;Wolfenbüttel und Berlin;29.06.2015 13:33:18
VolkerUllrich;28446356;Volker Ullrich;CSU;Augsburg und Berlin;02.04.2009 23:25:37
VolkmarKlein;33043294;Volkmar Klein;CDU;Berlin;18.04.2009 23:02:55
WaldemarHerdt;3384824825;Waldemar Herdt;AfD;Osnabrück-Land;20.07.2015 19:02:56
WSchinnenburg;828943222432997376;Wieland Schinnenburg;FDP;Hamburg;07.02.2017 12:27:20
WilfriedOellers;906847944;Wilfried Oellers;CDU;;26.10.2012 21:58:40
vonGottberg_AfD;3412973404;Wilhelm von Gottberg;AfD;Niedersachsen, Deutschland;10.08.2015 15:30:55
HellmichMdB;786498202832822272;Wolfgang Hellmich;SPD;Bad Sassendorf, Deutschland;13.10.2016 09:25:58
StefingerMdB;4866955749;Wolfgang Stefinger;CSU;München, Bayern;31.01.2016 18:11:21
W_SK;20840049;Wolfgang Strengmann-Kuhn;B90/Die Grünen;Frankfurt/ Offenbach;14.02.2009 10:16:47
yasmin_fahimi;238088709;Yasmin Fahimi;SPD;;14.01.2011 10:03:57
YvonneMagwas;3852561082;Yvonne Magwas;CDU;Auerbach/V.;03.10.2015 13:03:58
ZaklinNastic;2527808433;Zaklin Nastic;Die Linke;Hamburg;04.05.2014 10:37:53
